                   #time                  radius                porosity               viscosity
  0.000000000000000E+000  9.999999999999999E-006  4.187036343104289E-004  1.051361830545353E+001
  5.000000000000000E-001  1.382398119070482E-005  1.105370042736401E-003  1.018604172072424E+001
  1.000000000000000E+000  1.884435983616120E-005  2.795227262493684E-003  9.865475804471702E+000
  1.500000000000000E+000  2.616775464676181E-005  7.449729413716299E-003  9.551866551474703E+000
  2.000000000000000E+000  3.551461839511258E-005  1.841775789708491E-002  9.245159235729121E+000
  2.500000000000000E+000  4.648361567638794E-005  4.037297785050669E-002  8.945298398932277E+000
  3.000000000000000E+000  5.879376970862408E-005  7.845141259709279E-002  8.652227839003338E+000
  3.500000000000000E+000  7.227244473506045E-005  1.365370604259324E-001  8.365890598678245E+000
  4.000000000000000E+000  8.680892784757129E-005  2.150827809025074E-001  8.086228954214560E+000
  4.500000000000000E+000  1.023019416541182E-004  3.096197215199374E-001  7.813184404247409E+000
  5.000000000000000E+000  1.185347560262052E-004  4.109438215504261E-001  7.546697658845795E+000
  5.500000000000000E+000  1.349065243032803E-004  5.070152109915480E-001  7.286708628821610E+000
  6.000000000000000E+000  1.502447516456247E-004  5.868875090426693E-001  7.033156415350414E+000
  6.500000000000000E+000  1.632496084696278E-004  6.456923198735550E-001  6.785979299972623E+000
  7.000000000000000E+000  1.734004966160118E-004  6.859231927239315E-001  6.545114735047630E+000
  7.500000000000000E+000  1.811838440808902E-004  7.135836186432875E-001  6.310499334744126E+000
  8.000000000000000E+000  1.874606329933039E-004  7.340019886533937E-001  6.082068866652641E+000
  8.500000000000000E+000  1.929080206457801E-004  7.504393386083057E-001  5.859758244143348E+000
  9.000000000000000E+000  1.979061806090216E-004  7.645332057582738E-001  5.643501519549812E+000
  9.500000000000000E+000  2.026343963264921E-004  7.770446633605892E-001  5.433231878375409E+000
  1.000000000000000E+001  2.071729519684378E-004  7.883449950191880E-001  5.228881634527590E+000
  1.050000000000000E+001  2.115609282238903E-004  7.986463485893541E-001  5.030382226914955E+000
  1.100000000000000E+001  2.158212788384809E-004  8.080933091226784E-001  4.837664217445658E+000
  1.150000000000000E+001  2.199701428286299E-004  8.167964028175436E-001  4.650657290675936E+000
  1.200000000000000E+001  2.240201160950504E-004  8.248449521928714E-001  4.469290255339076E+000
  1.250000000000000E+001  2.279815098044096E-004  8.323130651419477E-001  4.293491047922988E+000
  1.300000000000000E+001  2.318629597892124E-004  8.392631605640815E-001  4.123186738655892E+000
  1.350000000000000E+001  2.356717964560736E-004  8.457483816569091E-001  3.958303540137832E+000
  1.400000000000000E+001  2.394143000999202E-004  8.518143697101316E-001  3.798766818923102E+000
  1.450000000000000E+001  2.430958876018325E-004  8.575006136663283E-001  3.644501110492079E+000
  1.500000000000000E+001  2.467212535055178E-004  8.628414999174697E-001  3.495430137835450E+000
  1.550000000000000E+001  2.502944778549436E-004  8.678671410001078E-001  3.351476834375993E+000
  1.600000000000000E+001  2.538191104497587E-004  8.726040397209019E-001  3.212563371854419E+000
  1.650000000000000E+001  2.572982382241097E-004  8.770756284926713E-001  3.078611191425795E+000
  1.700000000000000E+001  2.607345369944134E-004  8.813027082416809E-001  2.949541044540142E+000
  1.750000000000000E+001  2.641303144771145E-004  8.853038130472967E-001  2.825273036105949E+000
  1.800000000000000E+001  2.674875440492805E-004  8.890955125234423E-001  2.705726677025494E+000
  1.850000000000000E+001  2.708078921359798E-004  8.926926655805981E-001  2.590820944166346E+000
  1.900000000000000E+001  2.740927400227035E-004  8.961086342796210E-001  2.480474349432213E+000
  1.950000000000000E+001  2.773432018050022E-004  8.993554658122506E-001  2.374605016410897E+000
  2.000000000000000E+001  2.805601379601242E-004  9.024440469870932E-001  2.273130773017222E+000
  2.050000000000000E+001  2.837441666554960E-004  9.053842373586721E-001  2.175969250157660E+000
  2.100000000000000E+001  2.868956726951644E-004  9.081849839630071E-001  2.083037999317471E+000
  2.150000000000000E+001  2.900148148901966E-004  9.108544209336923E-001  1.994254612180418E+000
  2.200000000000000E+001  2.931015305004654E-004  9.133999549583559E-001  1.909536882653266E+000
  2.250000000000000E+001  2.961555405509076E-004  9.158283415750015E-001  1.828802958431652E+000
  2.300000000000000E+001  2.991763534643782E-004  9.181457513751105E-001  1.751971524917644E+000
  2.350000000000000E+001  3.021632688652823E-004  9.203578288067203E-001  1.678961999104102E+000
  2.400000000000000E+001  3.051153800165441E-004  9.224697433273782E-001  1.609694782308535E+000
  2.450000000000000E+001  3.080315778745697E-004  9.244862359165260E-001  1.544091509749258E+000
  2.500000000000000E+001  3.109105561784398E-004  9.264116609424499E-001  1.482075321200327E+000
  2.550000000000000E+001  3.137508166449944E-004  9.282500232314810E-001  1.423571187625769E+000
  2.600000000000000E+001  3.165506760290517E-004  9.300050119517294E-001  1.368506263237458E+000
  2.650000000000000E+001  3.193082750177998E-004  9.316800315241867E-001  1.316810277945961E+000
  2.700000000000000E+001  3.220215893843734E-004  9.332782300358028E-001  1.268415975094781E+000
  2.750000000000000E+001  3.246884434644903E-004  9.348025253602608E-001  1.223259597471011E+000
  2.800000000000000E+001  3.273065270395776E-004  9.362556297449850E-001  1.181281427672675E+000
  2.850000000000000E+001  3.298734148248754E-004  9.376400724923506E-001  1.142426389534461E+000
  2.900000000000000E+001  3.323865897376147E-004  9.389582215061077E-001  1.106644717566354E+000
  2.950000000000000E+001  3.348434697580802E-004  9.402123036662065E-001  1.073892702858248E+000
  3.000000000000000E+001  3.372414383717828E-004  9.414044241310536E-001  1.044133522993262E+000
  3.050000000000000E+001  3.395778772997636E-004  9.425365840772812E-001  1.017338181056471E+000
  3.100000000000000E+001  3.418502053959113E-004  9.436106989413685E-001  9.934865287189449E-001
  3.150000000000000E+001  3.440559176622531E-004  9.446286143557284E-001  9.725684382166512E-001
  3.200000000000000E+001  3.461926270932594E-004  9.455921214359847E-001  9.545851129253876E-001
  3.250000000000000E+001  3.482581088221383E-004  9.465029714070421E-001  9.395505466670020E-001
  3.300000000000000E+001  3.502503434005017E-004  9.473628884669727E-001  9.274931919248912E-001
  3.350000000000000E+001  3.521675603621276E-004  9.481735818037162E-001  9.184578335958882E-001
  3.400000000000000E+001  3.540082787107034E-004  9.489367556983773E-001  9.125077195109478E-001
  3.450000000000000E+001  3.557713453921207E-004  9.496541185980414E-001  9.097269783414882E-001
  3.500000000000000E+001  3.574559671005312E-004  9.503273896415824E-001  9.102233815281651E-001
  3.550000000000000E+001  3.590617380955008E-004  9.509583041640096E-001  9.141315016895903E-001
  3.600000000000000E+001  3.605886589143563E-004  9.515486164767157E-001  9.216163349469723E-001
  3.650000000000000E+001  3.620371476400018E-004  9.521001009488322E-001  9.328774647194970E-001
  3.700000000000000E+001  3.634080420725869E-004  9.526145509959305E-001  9.481538687414037E-001
  3.750000000000000E+001  3.647025920828235E-004  9.530937759065802E-001  9.677294656638112E-001
  3.800000000000000E+001  3.659224428852946E-004  9.535395959069529E-001  9.919395403356859E-001
  3.850000000000000E+001  3.670696094649229E-004  9.539538355774901E-001  1.021178211544491E+000
  3.900000000000000E+001  3.681464416205877E-004  9.543383153961735E-001  1.055907105467347E+000
  3.950000000000000E+001  3.691555848173573E-004  9.546948431670013E-001  1.096665452927698E+000
  4.000000000000000E+001  3.700999329021596E-004  9.550252037357221E-001  1.144081887443408E+000
  4.050000000000000E+001  3.709825775304552E-004  9.553311485378783E-001  1.198888224372629E+000
  4.100000000000000E+001  3.718067559552979E-004  9.556143853086506E-001  1.261935602971387E+000
  4.150000000000000E+001  3.725757980388028E-004  9.558765680072250E-001  1.334213383667887E+000
  4.200000000000000E+001  3.732930750653494E-004  9.561192876081237E-001  1.416871349378992E+000
  4.250000000000000E+001  3.739619512387053E-004  9.563440638365114E-001  1.511245797889505E+000
  4.300000000000000E+001  3.745857399623240E-004  9.565523383633581E-001  1.618890198696700E+000
