# L0	0.155
# time	foamDensity
# s	kg/m**3
21.4747755148	1139.7240309169
45.5957850608	1150.9593002946
55.4006175113	1030.3633380678
64.6445911112	511.9413149123
66.366937654	367.5891779857
73.6458657904	230.1834233386
78.7241877461	170.5582162494
83.3599410815	129.0652359415
87.7927654874	108.4952158894
91.7758830694	89.7776609073
95.9864034218	75.8674556308
101.9804549188	63.1060235979
107.9734866725	52.2159302518
113.9756961165	45.2984198186
118.8725037532	41.6381342745
130.252839702	39.7007735561
140.0750077897	38.8635049405
150.1235589043	38.6483898493
160.172110019	38.4344654512
180.2692122483	38.0101624077
